ANNO;CODI_CONTRATTO;CODI_TIPO_VOCE_SPESA;TIPO_VOCE_SPESA;CODI_VOCE_SPESA;DESC_VOCE_SPESA;FLAG_SEGNO
2023;RALN;F;FINANZIA;24T;ART 1 C 604 L 234/2021 - INCREM 0,22% M.S. 2018 DAL 1.1.2022;+
2023;MNST;F;FINANZIA;24T;ART 1 C 604 L 234/2021 - INCREM 0,22% M.S. 2018 DAL 1.1.2022;+
2023;ENAC;F;FINANZIA;24T;ART 1 C 604 L 234/2021 - INCREM 0,22% M.S. 2018 DAL 1.1.2022;+
2023;UNIV;F;FINANZIA;24T;ART 1 C 604 L 234/2021 - INCREM 0,22% M.S. 2018 DAL 1.1.2022;+
2023;EPNE;F;FINANZIA;24T;ART 1 C 604 L 234/2021 - INCREM 0,22% M.S. 2018 DAL 1.1.2022;+
2023;RALN;F;FINANZIA;27N;ART 17 CCNL 19-21 - RIS. DEST. E.Q. ANNO DI RILEVAZIONE;+
2023;RALN;F;FINANZIA;15O;ART 39 CCNL 14.9.00 - RIS STRAORD ELETTORALE;+
2023;RALN;F;FINANZIA;18K;ART 57 C 2 L A CCNL 16-18 - UNICO IMPORTO 2020;+
2023;AGID;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2023;REFR;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2023;CPRE;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2023;UNIV;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2023;ENAC;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2023;PCMD;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2023;MNST;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2023;SCLA;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2023;CDIP;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2023;RESA;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2023;UCAM;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2023;AGFI;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2023;ERIC;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2023;CNEL;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2023;RALN;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2023;SSNA;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2023;EPNE;U;UTILIZZO;448;RETRIBUZIONE DI POSIZIONE;+
2023;RALN;F;FINANZIA;00B;ART 67 C 1 CCNL 16-18 - UNICO IMPORTO CONSOLIDATO 2017;+
2023;RALN;F;FINANZIA;10Y;ART 67 C 2 L A CCNL 16-18 - INCREM 83,20 EURO DAL 31.12.2018;+
2023;RALN;F;FINANZIA;20K;ART 79 C 1 L B CCNL 19-21 - INCREM 84,50 EURO DAL 1.1.2021;+
2023;RALN;F;FINANZIA;23X;ART 79 C 1 L D CCNL 19-21 - RIDET. INCREM. STIP. CCNL 19-21;+
2023;RALN;F;FINANZIA;25W;ART 79 C 1-BIS CCNL 19-21 - DIFF STIP B3-B1, D3-D1;+
2023;RALN;F;FINANZIA;25Z;ART 79 C 2 L B CCNL 19-21 - INTEGRAZIONE 1,2% M.S. 1997;+
2023;RALN;F;FINANZIA;26B;ART 79 C 2 L C CCNL 19-21 - SCELTE ORG. GEST., RETRIB. ECC.;+
2023;ERIC;F;FINANZIA;999;SOMME NON UTILIZZATE FONDO/I ANNO PRECEDENTE;+
2023;UNIV;F;FINANZIA;999;SOMME NON UTILIZZATE FONDO/I ANNO PRECEDENTE;+
2023;MNST;F;FINANZIA;999;SOMME NON UTILIZZATE FONDO/I ANNO PRECEDENTE;+
2023;AFAM;F;FINANZIA;999;SOMME NON UTILIZZATE FONDO/I ANNO PRECEDENTE;+
2023;RESI;F;FINANZIA;999;SOMME NON UTILIZZATE FONDO/I ANNO PRECEDENTE;+
2023;RALN;F;FINANZIA;999;SOMME NON UTILIZZATE FONDO/I ANNO PRECEDENTE;+
2023;EPNE;F;FINANZIA;999;SOMME NON UTILIZZATE FONDO/I ANNO PRECEDENTE;+
2023;RESA;F;FINANZIA;999;SOMME NON UTILIZZATE FONDO/I ANNO PRECEDENTE;+
2023;SSNA;F;FINANZIA;999;SOMME NON UTILIZZATE FONDO/I ANNO PRECEDENTE;+
2023;CNEL;F;FINANZIA;999;SOMME NON UTILIZZATE FONDO/I ANNO PRECEDENTE;+
2023;REFR;F;FINANZIA;999;SOMME NON UTILIZZATE FONDO/I ANNO PRECEDENTE;+
2023;SCLA;F;FINANZIA;999;SOMME NON UTILIZZATE FONDO/I ANNO PRECEDENTE;+
2023;UCAM;F;FINANZIA;00O;ALTRE RISORSE NON COMPRESE FRA LE PRECEDENTI;+
2023;CNEL;F;FINANZIA;00O;ALTRE RISORSE NON COMPRESE FRA LE PRECEDENTI;+
2023;EPNE;F;FINANZIA;00O;ALTRE RISORSE NON COMPRESE FRA LE PRECEDENTI;+
2023;MNST;F;FINANZIA;00O;ALTRE RISORSE NON COMPRESE FRA LE PRECEDENTI;+
2023;RESA;F;FINANZIA;00O;ALTRE RISORSE NON COMPRESE FRA LE PRECEDENTI;+
2023;SSNA;F;FINANZIA;00O;ALTRE RISORSE NON COMPRESE FRA LE PRECEDENTI;+
2023;AFAM;F;FINANZIA;00O;ALTRE RISORSE NON COMPRESE FRA LE PRECEDENTI;+
2023;UNIV;F;FINANZIA;00O;ALTRE RISORSE NON COMPRESE FRA LE PRECEDENTI;+
2023;ENAC;F;FINANZIA;00O;ALTRE RISORSE NON COMPRESE FRA LE PRECEDENTI;+
2023;PCMD;F;FINANZIA;00O;ALTRE RISORSE NON COMPRESE FRA LE PRECEDENTI;+
2023;REFR;F;FINANZIA;00O;ALTRE RISORSE NON COMPRESE FRA LE PRECEDENTI;+
2023;ERIC;F;FINANZIA;00O;ALTRE RISORSE NON COMPRESE FRA LE PRECEDENTI;+
2023;SCLA;F;FINANZIA;00O;ALTRE RISORSE NON COMPRESE FRA LE PRECEDENTI;+
2023;RALN;F;FINANZIA;00O;ALTRE RISORSE NON COMPRESE FRA LE PRECEDENTI;+
2023;REVA;F;FINANZIA;00O;ALTRE RISORSE NON COMPRESE FRA LE PRECEDENTI;+
2023;RESI;F;FINANZIA;00O;ALTRE RISORSE NON COMPRESE FRA LE PRECEDENTI;+
2023;MNST;U;UTILIZZO;02P;PROGRESSIONI ECONOMICHE ANNO DI RIFER.TO;+
2023;ENAC;U;UTILIZZO;02P;PROGRESSIONI ECONOMICHE ANNO DI RIFER.TO;+
2023;RALN;U;UTILIZZO;02P;PROGRESSIONI ECONOMICHE ANNO DI RIFER.TO;+
2023;EPNE;U;UTILIZZO;02P;PROGRESSIONI ECONOMICHE ANNO DI RIFER.TO;+
2023;RALN;U;UTILIZZO;00D;INDENNITÀ DI COMPARTO - QUOTA CARICO FONDO;+
2023;RALN;U;UTILIZZO;00U;RETRIBUZIONE DI POSIZIONE;+
2023;RALN;F;FINANZIA;15N;ART 14 CCNL 98-01 - RIS STRAORDINARIO ORDINARIO ANNO 2017;+
2023;UCAM;U;UTILIZZO;05P;STRAORDINARIO ORDINARIO;+
2023;RALN;U;UTILIZZO;05P;STRAORDINARIO ORDINARIO;+
2023;RALN;F;FINANZIA;18J;RIS TRATT ACCESS SEGRET COM.LE E PROV.LE ANNO DI RILEVAZIONE;+
2023;EPNE;U;UTILIZZO;20S;DIFFERENZIALI STIPENDIALI IN ESSERE NON DISPONIBILI ALLA CI;+
2023;MNST;U;UTILIZZO;20S;DIFFERENZIALI STIPENDIALI IN ESSERE NON DISPONIBILI ALLA CI;+
2023;CNEL;U;UTILIZZO;20S;DIFFERENZIALI STIPENDIALI IN ESSERE NON DISPONIBILI ALLA CI;+
2023;AGFI;U;UTILIZZO;20S;DIFFERENZIALI STIPENDIALI IN ESSERE NON DISPONIBILI ALLA CI;+
2023;RALN;U;UTILIZZO;20S;DIFFERENZIALI STIPENDIALI IN ESSERE NON DISPONIBILI ALLA CI;+
2023;UCAM;U;UTILIZZO;20S;DIFFERENZIALI STIPENDIALI IN ESSERE NON DISPONIBILI ALLA CI;+
2023;RALN;U;UTILIZZO;00L;SPECIFICHE RESPONSABILITÀ;+
2023;ENAC;U;UTILIZZO;00L;SPECIFICHE RESPONSABILITÀ;+
2023;EPNE;U;UTILIZZO;00L;SPECIFICHE RESPONSABILITÀ;+
2023;RALN;U;UTILIZZO;00K;IND TURNO, REPERIB E LAV FEST (ART 24 C 1 CCNL 14.09.2000);+
2023;UNIV;F;FINANZIA;03N;ART 63 C 1 CCNL 16-18 - UNICO IMPORTO CONSOLIDATO 2017;+
2023;UNIV;F;FINANZIA;10W;ART. 63 C 2 L F CCNL 16-18 - INCR. 0,1% M.S. 2015 - BCD;+
2023;RALN;U;UTILIZZO;00G;PREMI CORRELATI ALLA PERFORMANCE ORGANIZZATIVA;+
2023;RALN;U;UTILIZZO;00H;PREMI CORRELATI ALLA PERFORMANCE INDIVIDUALE;+
2023;RALN;U;UTILIZZO;00J;INDENNITÀ CONDIZIONI DI LAVORO;+
2023;UNIV;U;UTILIZZO;22I;INCENTIVI FUNZIONI TECNICHE;+
2023;RESA;U;UTILIZZO;22I;INCENTIVI FUNZIONI TECNICHE;+
2023;REFR;U;UTILIZZO;22I;INCENTIVI FUNZIONI TECNICHE;+
2023;RALN;U;UTILIZZO;22I;INCENTIVI FUNZIONI TECNICHE;+
2023;EPNE;U;UTILIZZO;22I;INCENTIVI FUNZIONI TECNICHE;+
2023;SSNA;U;UTILIZZO;22I;INCENTIVI FUNZIONI TECNICHE;+
2023;ERIC;U;UTILIZZO;22I;INCENTIVI FUNZIONI TECNICHE;+
2023;RALN;U;UTILIZZO;04C;INCENTIVI RECUPERO EVASIONE IMU E TARI;+
2023;RALN;U;UTILIZZO;00V;POLIZIA LOCALE - INDENNITÀ DI SERVIZIO ESTERNO;+
2023;RALN;U;UTILIZZO;00W;RETRIBUZIONE DI RISULTATO;+
2023;ENAC;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2023;CDIP;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2023;EPNE;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2023;REVA;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2023;MNST;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2023;CPRE;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2023;RESI;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2023;SCLA;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2023;RALN;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2023;RESA;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2023;UNIV;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2023;REFR;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2023;UCAM;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2023;PCMD;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2023;ERIC;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2023;SSNA;U;UTILIZZO;449;RETRIBUZIONE DI RISULTATO;+
2023;RALN;F;FINANZIA;00Z;ART 67 C 2 L B CCNL 16-18 - RIDET. INCREM. STIP. CCNL 16-18;+
2023;RALN;F;FINANZIA;00C;ART 67 C 2 L C CCNL 16-18 - RIA E ASS. AD PERS. CESSATO;+
2023;RALN;F;FINANZIA;10L;ART 1 C 1091 L 145/2018 - REC. EV. IMU E TARI;+
2023;RALN;F;FINANZIA;25X;ART 98 C 1 L C CCNL 19-21 - PROV VIOLAZ CODICE STRADA;+
2023;RALN;F;FINANZIA;24P;ART. 45 DLGS 36/2023 - INCENTIVI ALLE FUNZIONI TECNICHE;+
2023;EPNE;F;FINANZIA;24P;ART. 45 DLGS 36/2023 - INCENTIVI ALLE FUNZIONI TECNICHE;+
2023;RESA;F;FINANZIA;24P;ART. 45 DLGS 36/2023 - INCENTIVI ALLE FUNZIONI TECNICHE;+
2023;REFR;F;FINANZIA;24P;ART. 45 DLGS 36/2023 - INCENTIVI ALLE FUNZIONI TECNICHE;+
2023;UNIV;F;FINANZIA;24P;ART. 45 DLGS 36/2023 - INCENTIVI ALLE FUNZIONI TECNICHE;+
2023;SSNA;F;FINANZIA;24P;ART. 45 DLGS 36/2023 - INCENTIVI ALLE FUNZIONI TECNICHE;+
2023;RALN;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2023;SSNA;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2023;ERIC;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2023;RESA;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2023;UNIV;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2023;ENAC;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2023;CDIP;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2023;EPNE;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2023;RESI;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2023;UCAM;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2023;CNEL;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2023;MNST;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2023;PCMD;F;FINANZIA;00P;ART 23 C 2 DLGS 75/2017 - DEC. FONDO RISPETTO LIMITE 2016;-
2023;RALN;F;FINANZIA;15P;ART 39 CCNL 14.9.00 - RIS STRAORD EVENTI STR E CAL NATURALI;+
2023;RALN;U;UTILIZZO;00M;POLIZIA LOCALE - INCENTIVI PROV VIOLAZIONE CODICE STRADA;+
2023;CNEL;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2023;SCLA;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2023;EPNE;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2023;REVA;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2023;ERIC;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2023;RESI;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2023;PCMD;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2023;ENAC;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2023;RESA;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2023;RALN;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2023;MNST;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2023;REFR;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2023;AFAM;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2023;UCAM;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2023;SSNA;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2023;UNIV;U;UTILIZZO;998;ALTRI ISTITUTI NON COMPRESI FRA I PRECEDENTI;+
2023;RALN;U;UTILIZZO;05R;STRAORDINARIO PER EVENTI STRAORDINARI E CALAMITÀ NATURALI;+
2023;RALN;F;FINANZIA;25Y;ART 79 C 2 L D CCNL 19-21 -RISP. STRAORD. CONS. ANNO PREC.;+
2023;RALN;F;FINANZIA;01Q;ART 67 C 2 L E CCNL 16-18 -DEC. PERS. TRASF. DISP. LEGGE;-
2023;MNST;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2023;ENAC;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2023;EPNE;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2023;SSNA;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2023;UCAM;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2023;RALN;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2023;RESA;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2023;AFAM;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2023;REFR;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2023;SCLA;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2023;PCMD;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2023;CNEL;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2023;ERIC;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2023;RESI;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2023;UNIV;F;FINANZIA;27I;ART 1 C 456 L 147/2013 - DECURTAZIONE PERMANENTE;-
2023;SSNA;F;FINANZIA;01P;ALTRE DECURTAZIONI NON COMPRESE FRA LE PRECEDENTI;-
2023;ENAC;F;FINANZIA;01P;ALTRE DECURTAZIONI NON COMPRESE FRA LE PRECEDENTI;-
2023;ERIC;F;FINANZIA;01P;ALTRE DECURTAZIONI NON COMPRESE FRA LE PRECEDENTI;-
2023;AFAM;F;FINANZIA;01P;ALTRE DECURTAZIONI NON COMPRESE FRA LE PRECEDENTI;-
2023;RALN;F;FINANZIA;01P;ALTRE DECURTAZIONI NON COMPRESE FRA LE PRECEDENTI;-
2023;RESI;F;FINANZIA;01P;ALTRE DECURTAZIONI NON COMPRESE FRA LE PRECEDENTI;-
2023;PCMD;F;FINANZIA;01P;ALTRE DECURTAZIONI NON COMPRESE FRA LE PRECEDENTI;-
2023;REVA;F;FINANZIA;01P;ALTRE DECURTAZIONI NON COMPRESE FRA LE PRECEDENTI;-
2023;UNIV;F;FINANZIA;01P;ALTRE DECURTAZIONI NON COMPRESE FRA LE PRECEDENTI;-
2023;REFR;F;FINANZIA;01P;ALTRE DECURTAZIONI NON COMPRESE FRA LE PRECEDENTI;-
2023;EPNE;F;FINANZIA;01P;ALTRE DECURTAZIONI NON COMPRESE FRA LE PRECEDENTI;-
2023;MNST;F;FINANZIA;01P;ALTRE DECURTAZIONI NON COMPRESE FRA LE PRECEDENTI;-
2023;RALN;U;UTILIZZO;00E;INCREMENTO INDENNITÀ PERSONALE ASILI NIDO;+
2023;RALN;U;UTILIZZO;06Z;MAGGIORAZIONE RETRIBUZIONE DI POSIZIONE;+
2023;RALN;F;FINANZIA;00U;ART 67 C 3 L D CCNL 16-18-RIA CESS ANNO PREC MENSIL RESIDUE;+
2023;RALN;U;UTILIZZO;00F;INDENNITÀ PERSONALE EX VIII QUALIFICA FUNZIONALE;+
2023;RALN;U;UTILIZZO;07T;ASS. AD PERS. RIASS. PROGR. FRA LE AREE;+
2023;RALN;U;UTILIZZO;00Y;POLIZIA LOCALE - INDENNITÀ DI FUNZIONE;+
2023;RALN;U;UTILIZZO;00R;COMPENSI AI MESSI NOTIFICATORI;+
2023;SSNA;F;FINANZIA;10N;ART 9 C 6 DL 90/2014 - COMP AVVOCATI SPESE COMPENSATE;+
2023;RALN;F;FINANZIA;10N;ART 9 C 6 DL 90/2014 - COMP AVVOCATI SPESE COMPENSATE;+
2023;UNIV;F;FINANZIA;10N;ART 9 C 6 DL 90/2014 - COMP AVVOCATI SPESE COMPENSATE;+
2023;RALN;F;FINANZIA;26J;ART 7 C 4 L U CCNL 19-21 - DEC. RISORSE DESTINATE E.Q.;-
2023;RALN;F;FINANZIA;10M;ART 9 C 3 DL 90/2014 - COMP AVVOCATI CARICO CONTROPARTI;+
